Year,Seats,Democrat,Republican,Other
1857,237,132,90,15
1859,238,83,116,39
1861,183,44,108,31
1863,184,72,85,27
1865,193,38,136,19
1867,226,47,173,6
1869,243,67,171,5
1871,243,104,136,3
1873,292,88,199,5
1875,293,182,103,8
1877,293,155,136,2
1879,293,141,132,20
1881,293,128,151,14
1883,325,196,117,12
1885,325,182,141,2
1887,325,167,152,6
1889,332,152,179,1
1891,332,238,86,8
1893,356,218,124,14
1895,357,93,254,10
1897,357,124,206,27
1899,357,161,187,9
1901,357,151,200,6
1903,386,176,207,3
1905,386,135,251,0
1907,391,167,223,1
1909,391,172,219,0
1911,394,230,162,2
1913,435,291,134,10
1915,435,230,196,9
1917,435,214,215,6
1919,435,192,240,3
1921,435,131,302,2
1923,435,207,225,3
1925,435,183,247,5
1927,435,194,238,3
1929,435,164,270,1
1931,435,216,218,1
1933,435,313,117,5
1935,435,322,103,10
1937,435,334,88,13
1939,435,262,169,4
1941,435,267,162,6
1943,435,222,209,4
1945,435,244,189,2
1947,435,188,246,1
1949,435,263,171,1
1951,435,235,199,1
1953,435,213,221,1
1955,435,232,203,0
1957,435,232,203,0
1959,435,282,153,0
1961,435,264,173,-2
1963,436,258,176,2
1965,437,295,140,2
1967,435,248,187,0
1969,435,243,192,0
1971,435,255,180,0
1973,435,243,192,0
1975,435,291,144,0
1977,435,292,143,0
1979,435,278,157,0
1981,435,243,192,0
1983,435,269,166,0
1985,435,254,181,0
1987,435,258,177,0
1989,435,260,175,0
1991,435,267,167,1
1993,435,258,176,1
1995,435,204,230,1
1997,435,207,226,2
1999,435,211,223,1
2001,435,213,220,2
2003,435,205,229,1
2005,435,201,233,1
2007,435,233,202,0
2009,435,257,178,0
2011,435,193,242,0
2013,435,201,234,0
2015,435,188,247,0
2017,435,194,241,0
